,spanish,english
0,de,of
1,la,the
2,que,that
3,el,the
4,en,in
5,y,Y
6,a,a
7,los,the
8,se,I know
9,del,of
10,las,the
11,un,a
12,por,for
13,con,with
14,no,not
15,una,a
16,su,his
17,para,to
18,es,is
19,al,to the
20,lo,it
21,como,What
22,más,more
23,o,either
24,pero,but
25,sus,their
26,le,you
27,ha,ha
28,me,I
29,si,Yeah
30,sin,without
31,sobre,upon
32,este,East
33,ya,Already
34,entre,Come in
35,cuando,when
36,todo,everything
37,esta,is
38,ser,to be
39,son,They are
40,dos,two
41,también,too
42,fue,it was
43,había,there was
44,era,was
45,muy,very
46,años,years
47,hasta,until
48,desde,since
49,está,this
50,mi,me
51,porque,why
52,qué,what
53,sólo,only
54,han,they have
55,yo,I
56,hay,there are
57,vez,time
58,puede,may
59,todos,everyone
60,así,So
61,nos,us
62,ni,neither
63,parte,part
64,tiene,have
65,él,he
66,uno,one
67,donde,where
68,bien,all right
69,tiempo,weather
70,mismo,same
71,ese,that
72,ahora,now
73,cada,every
74,e,and
75,vida,life
76,otro,other
77,después,after
78,te,tea
79,otros,others
80,aunque,even though
81,esa,that
82,eso,that
83,hace,does
84,otra,other
85,gobierno,government
86,tan,so
87,durante,during
88,siempre,forever
89,día,day
90,tanto,so much
91,ella,she
92,tres,three
93,sí,Yeah
94,dijo,said
95,sido,been
96,gran,big
97,país,country
98,según,according to
99,menos,less
100,mundo,world
101,año,year
102,antes,before
103,estado,condition
104,contra,against
105,sino,otherwise
106,forma,form
107,caso,case
108,nada,nothing
109,hacer,do
110,general,general
111,estaba,was
112,poco,little bit
113,estos,these
114,presidente,President
115,mayor,elderly
116,ante,in view of
117,unos,some
118,les,them
119,algo,something
120,hacia,toward
121,casa,house
122,ellos,them
123,ayer,Yesterday
124,hecho,done
125,primera,first
126,mucho,much
127,mientras,While
128,además,further
129,quien,who
130,momento,moment
131,millones,millions
132,esto,this
133,españa,Spain
134,hombre,man
135,están,is it so
136,pues,well
137,hoy,today
138,lugar,place
139,madrid,Madrid
140,nacional,national
141,trabajo,worked
142,otras,others
143,mejor,better
144,nuevo,new
145,decir,say
146,algunos,Some
147,entonces,then
148,todas,all
149,días,days
150,debe,should
151,política,politics
152,cómo,What
153,casi,almost
154,toda,all
155,tal,such
156,luego,later
157,pasado,past
158,primer,first
159,medio,medium
160,va,goes
161,estas,are
162,sea,be
163,tenía,I had
164,nunca,never
165,poder,can
166,aquí,here
167,ver,watch
168,veces,times
169,embargo,embargo
170,partido,match
171,personas,people
172,grupo,group
173,cuenta,bill
174,pueden,may
175,tienen,have
176,misma,same
177,nueva,new
178,cual,which
179,fueron,were
180,mujer,women
181,frente,forehead
182,josé,Joseph
183,tras,after
184,cosas,stuff
185,fin,End
186,ciudad,town
187,he,He
188,social,Social
189,manera,way
190,tener,have
191,sistema,system
192,será,will be
193,historia,history
194,muchos,Many
195,juan,John
196,tipo,type
197,cuatro,four
198,dentro,within
199,nuestro,our
200,punto,point
201,dice,He says
202,ello,it
203,cualquier,any
204,noche,night
205,aún,still
206,agua,Water
207,parece,It seems
208,haber,to have
209,situación,situation
210,fuera,outside
211,bajo,under
212,grandes,big
213,nuestra,our
214,ejemplo,example
215,acuerdo,agreement
216,habían,They were
217,usted,you
218,estados,state
219,hizo,made
220,nadie,nobody
221,países,countries
222,horas,hours
223,posible,possible
224,tarde,late
225,ley,law
226,importante,important
227,guerra,war
228,desarrollo,developing
229,proceso,process
230,realidad,reality
231,sentido,sense
232,lado,side
233,mí,my
234,tu,you
235,cambio,change
236,allí,over there
237,mano,hand
238,eran,they were
239,estar,be
240,san,saint
241,número,number
242,sociedad,society
243,unas,nail
244,centro,hub
245,padre,dad
246,gente,people
247,final,final
248,relación,relationship
249,cuerpo,Body
250,obra,construction site
251,incluso,even
252,través,through
253,último,latest
254,madre,mother
255,mis,my
256,modo,mode
257,problemas,problems
258,cinco,five
259,carlos,Charles
260,hombres,mens
261,información,information
262,ojos,eyes
263,muerte,death
264,nombre,Name
265,algunas,some
266,público,public
267,mujeres,women
268,siglo,century
269,todavía,yet
270,meses,months
271,mañana,morning
272,esos,those
273,nosotros,us
